Time [s];Velocity [km/h];Longitudinal Acceleration [m/s2];SOC [%];Battery Temperature [degC];Battery Voltage [V];Battery Current [A];Heating Power CAN [kW];Ambient Temperature [degC]
45.0;0.13;0.0197;80.17;21.79;374.49;-1.4;1.668;13.77
46.0;0.52;0.0923;79.93;21.75;377.48;-0.89;1.147;13.29
47.0;0.13;-0.1803;79.93;22.25;375.28;-2.35;1.171;13.77
48.0;0.41;0.069;80.02;22.29;377.6;-7.56;1.675;13.7
49.0;0.04;-0.1643;80.03;22.14;376.02;-4.86;2.045;13.57
50.0;3.67;1.0478;79.91;21.49;377.44;-2.8;1.162;13.61
51.0;7.13;1.0219;79.91;22.03;376.03;0.97;1.867;13.7
52.0;8.91;0.4609;79.97;21.98;376.88;11.61;1.894;14.05
53.0;12.41;0.9837;79.85;22.25;376.47;-0.26;1.965;14.07
54.0;14.93;0.6731;79.88;22.11;376.41;8.25;1.503;13.57
55.0;17.27;0.6231;79.91;22.04;376.14;16.25;1.413;13.67
56.0;19.75;0.7206;79.97;21.95;375.56;7.9;1.258;13.68
57.0;22.92;0.8785;79.83;21.81;377.86;14.2;1.288;14.0
58.0;23.46;0.2202;79.72;22.19;374.24;15.17;1.264;13.84
59.0;26.38;0.7924;79.7;21.89;375.3;19.17;1.374;13.82
60.0;26.49;0.0687;79.74;21.74;375.4;13.78;1.21;13.93
61.0;28.87;0.6662;79.73;21.8;375.83;24.81;1.142;13.65
62.0;30.63;0.5217;79.81;22.12;375.0;26.77;2.107;14.14
63.0;32.25;0.4312;79.71;21.92;375.7;27.67;2.017;13.8
64.0;33.59;0.3708;79.74;22.14;375.17;23.43;1.432;13.59
65.0;34.82;0.3364;79.72;22.12;373.44;28.42;2.094;13.74
66.0;35.23;0.0806;79.73;21.78;375.38;24.87;1.275;14.11
67.0;36.18;0.2907;79.86;22.41;374.31;28.04;1.488;13.69
68.0;37.92;0.5094;79.8;21.72;373.41;39.64;1.994;14.04
69.0;38.17;0.0937;79.73;22.02;375.53;31.65;1.62;13.64
70.0;38.34;0.1085;79.68;22.01;375.84;26.68;1.303;13.61
71.0;39.19;0.2935;79.67;22.27;375.87;32.95;1.33;13.96
72.0;40.03;0.2176;79.72;22.24;376.02;27.62;1.556;13.58
73.0;41.54;0.4342;79.73;21.69;373.03;29.66;1.758;14.01
74.0;41.94;0.0863;79.59;21.99;373.45;30.68;1.577;13.89
75.0;42.84;0.2507;79.66;22.17;377.58;33.92;1.621;13.58
76.0;42.7;-0.0629;79.48;21.9;373.59;39.31;1.459;13.78
77.0;43.54;0.2995;79.64;22.37;375.92;38.68;1.653;13.66
78.0;44.28;0.2198;79.68;22.12;374.42;39.16;1.324;13.89
79.0;44.15;-0.046;79.58;22.23;375.14;32.54;1.925;14.27
80.0;45.0;0.2857;79.73;22.27;374.6;35.59;1.931;13.71
81.0;44.7;-0.1708;79.5;22.52;375.57;38.55;1.406;13.93
82.0;45.22;0.0646;79.58;22.38;375.21;35.45;1.892;13.81
83.0;45.53;0.1174;79.54;22.32;374.44;37.14;1.251;13.81
84.0;45.34;-0.0508;79.53;22.14;373.68;39.84;1.438;13.76
85.0;46.62;0.3672;79.51;22.2;375.23;37.9;1.459;13.59
86.0;46.31;-0.1411;79.52;22.1;373.46;39.9;1.596;13.88
87.0;46.84;0.1457;79.56;21.7;375.53;45.86;1.857;13.73
88.0;47.34;0.2199;79.59;22.28;378.22;39.28;2.079;13.57
89.0;47.52;0.0846;79.47;22.33;376.44;44.87;1.624;14.05
90.0;47.85;0.0966;79.52;22.28;375.79;42.69;1.506;13.82
91.0;47.57;-0.0953;79.38;22.22;374.55;34.32;1.76;13.74
92.0;47.54;-0.0238;79.49;22.75;372.53;35.75;1.306;14.14
93.0;47.9;0.015;79.35;22.2;373.0;37.17;1.145;13.34
94.0;47.08;-0.2177;79.49;22.31;376.4;36.31;2.277;14.12
95.0;47.36;0.111;79.56;22.48;374.07;39.63;1.996;13.58
96.0;47.56;-0.0078;79.36;22.58;373.77;42.64;1.904;13.85
97.0;47.87;0.0599;79.18;22.41;374.04;45.49;1.455;13.65
98.0;48.81;0.2164;79.3;22.24;373.2;42.6;1.036;13.57
99.0;48.13;-0.2284;79.43;22.07;373.27;38.94;1.552;14.13
100.0;48.54;0.1158;79.36;22.38;374.54;32.78;2.207;14.26
101.0;49.63;0.2202;79.32;22.24;373.46;42.43;1.203;13.74
102.0;48.72;-0.229;79.37;22.23;373.73;41.39;1.2;13.88
103.0;49.45;0.2332;79.31;22.86;373.57;42.71;1.049;13.81
104.0;48.52;-0.2693;79.36;22.27;375.23;-18.16;1.82;14.23
105.0;49.02;0.0401;79.32;22.29;374.24;46.53;1.966;13.27
106.0;48.63;-0.1473;79.36;22.35;374.38;44.34;1.949;13.89
107.0;49.05;0.1667;79.25;22.21;375.09;37.75;1.012;13.62
108.0;49.81;0.0999;79.28;22.24;374.27;40.27;1.81;13.21
109.0;48.32;-0.4284;79.17;22.39;373.88;-15.41;1.636;13.71
110.0;49.66;0.3256;79.13;22.23;374.7;39.08;1.153;14.26
111.0;49.59;0.011;79.3;22.1;375.29;44.11;1.321;13.64
112.0;49.13;-0.1548;79.17;22.77;374.03;43.1;1.572;14.0
113.0;48.65;-0.1158;79.2;22.5;374.38;36.87;1.39;14.1
114.0;49.6;0.285;79.14;22.37;373.2;46.9;2.038;13.8
115.0;49.27;-0.0181;79.06;22.61;372.96;42.21;1.527;13.83
116.0;49.75;0.127;79.1;22.51;374.99;35.35;1.465;13.37
117.0;49.65;-0.0126;79.2;22.53;374.8;41.97;1.826;13.62
118.0;50.63;0.2109;79.11;22.48;374.64;44.22;1.873;14.03
119.0;49.55;-0.2527;78.92;22.69;374.04;-16.18;1.15;13.82
120.0;49.1;-0.1551;79.03;22.51;373.97;40.29;1.863;13.89
121.0;49.84;0.1837;79.17;22.74;375.05;45.66;1.366;13.83
122.0;49.88;0.0111;79.0;22.49;374.98;43.14;1.438;14.35
123.0;50.58;0.1322;78.86;22.54;374.67;37.79;1.798;13.69
124.0;50.28;-0.0737;79.14;22.8;374.03;37.11;1.67;14.2
125.0;50.01;-0.0368;79.03;22.55;375.59;47.0;1.489;13.83
126.0;50.69;0.2;78.95;22.49;374.04;47.94;1.267;14.22
127.0;49.11;-0.5019;78.92;22.69;374.45;-26.96;1.656;13.49
128.0;49.45;0.0899;79.02;22.62;374.24;47.96;1.374;13.85
129.0;49.29;-0.015;78.88;22.39;373.91;46.06;2.158;13.7
130.0;49.63;0.0173;79.0;22.49;372.97;44.88;1.742;13.83
131.0;49.04;-0.2047;78.93;22.42;374.57;37.95;2.11;14.11
132.0;50.26;0.3729;78.9;22.31;377.07;49.67;1.466;13.89
133.0;49.75;-0.1297;78.88;22.64;373.16;44.41;1.926;14.11
134.0;49.01;-0.1894;78.84;22.51;373.61;40.02;0.999;13.63
135.0;49.29;0.1523;78.92;22.68;373.16;39.16;1.303;13.59
136.0;50.1;0.2422;78.75;22.83;372.77;43.62;1.114;13.8
137.0;50.42;0.1155;78.68;22.27;375.06;36.21;1.08;13.79
138.0;51.12;0.3032;78.84;22.91;372.74;46.36;1.989;13.75
139.0;51.68;0.1458;78.83;22.48;372.95;40.28;1.82;13.56
140.0;50.18;-0.4471;78.81;22.69;371.56;-16.36;1.77;14.1
141.0;49.34;-0.2156;78.79;22.55;372.52;39.79;1.567;13.71
142.0;48.66;-0.1716;78.71;22.61;371.23;40.17;1.718;14.16
143.0;50.11;0.38;78.79;22.44;374.19;39.57;1.742;13.8
144.0;49.46;-0.2203;78.71;22.71;376.63;41.34;1.934;13.96
145.0;49.7;0.1596;78.66;22.89;372.73;49.78;1.721;13.94
146.0;49.59;-0.0188;78.66;22.65;371.17;47.65;1.93;13.59
147.0;49.87;0.0501;78.83;22.79;374.6;43.8;1.269;13.89
148.0;50.6;0.2386;78.52;22.73;372.01;42.97;2.153;14.28
149.0;50.06;-0.1551;78.68;22.86;374.77;45.93;1.076;13.86
150.0;49.87;-0.062;78.49;22.31;372.49;46.9;1.403;14.03
151.0;49.35;-0.123;78.61;22.92;372.3;38.56;1.926;13.97
152.0;48.97;-0.1576;78.57;22.85;372.76;41.21;1.094;13.88
153.0;49.68;0.2127;78.42;22.97;373.59;34.91;1.136;13.85
154.0;49.94;0.1491;78.61;22.43;372.78;46.94;1.333;13.94
155.0;51.04;0.3227;78.53;22.5;372.31;51.75;1.486;13.99
156.0;50.06;-0.2875;78.38;23.07;372.35;-21.01;2.253;13.46
157.0;50.57;0.1222;78.6;22.59;371.52;34.54;1.893;13.86
158.0;49.68;-0.263;78.63;22.78;373.59;-22.27;1.534;13.75
159.0;49.27;-0.1241;78.62;22.81;370.95;38.19;2.338;13.7
160.0;49.41;0.0219;78.52;22.7;372.35;39.28;1.803;14.12
161.0;49.55;0.0769;78.48;22.95;373.71;44.58;2.019;13.62
162.0;51.26;0.4066;78.57;22.55;373.35;44.72;1.283;13.45
163.0;49.49;-0.4569;78.58;22.89;373.72;-18.57;1.621;14.0
164.0;50.49;0.2617;78.53;22.5;372.82;40.37;1.171;13.44
165.0;49.45;-0.2749;78.35;22.63;373.93;-16.77;0.968;13.32
166.0;50.55;0.2609;78.42;23.01;373.8;41.38;1.786;14.03
167.0;50.22;-0.0378;78.43;22.95;373.23;38.27;1.032;13.84
168.0;49.9;-0.0403;78.24;22.49;373.41;41.07;1.666;13.92
169.0;49.97;0.0579;78.4;22.95;373.55;43.83;1.723;13.69
170.0;49.6;-0.1628;78.54;22.69;372.39;41.41;1.002;13.45
171.0;50.26;0.2168;78.39;22.73;371.01;37.09;1.466;13.5
172.0;49.72;-0.1338;78.44;23.04;373.23;46.19;1.907;13.73
173.0;49.26;-0.1925;78.33;22.78;373.14;30.84;2.027;13.48
174.0;49.23;-0.0096;78.29;22.65;373.73;39.98;1.391;13.88
175.0;50.1;0.2564;78.32;23.03;371.34;40.11;2.041;13.68
176.0;50.94;0.2568;78.21;22.8;371.15;43.99;2.024;13.85
177.0;50.09;-0.2293;78.18;23.04;372.74;44.83;1.685;13.84
178.0;49.92;-0.0347;78.34;22.83;372.44;46.94;1.436;13.9
179.0;50.17;0.1264;78.34;22.97;370.25;39.81;2.03;13.92
180.0;50.78;0.2191;78.14;22.79;372.55;45.59;2.054;13.71
181.0;50.13;-0.2957;78.28;22.51;370.17;-22.92;1.354;13.85
182.0;49.75;-0.1177;78.18;22.71;371.05;35.42;2.447;13.86
183.0;50.66;0.2463;78.2;23.26;373.85;50.73;2.017;13.19
184.0;50.25;-0.1829;78.2;23.04;374.41;36.99;1.676;13.96
185.0;50.92;0.1883;78.23;23.09;370.82;45.05;1.745;13.84
186.0;50.11;-0.1754;78.14;23.14;371.71;44.16;1.609;13.94
187.0;49.26;-0.278;78.23;23.05;372.34;-15.89;1.805;13.48
188.0;49.18;-0.0104;78.13;22.98;374.22;39.74;2.013;13.72
189.0;50.99;0.4666;78.14;22.67;371.52;46.75;1.032;13.53
190.0;47.53;-0.9869;78.01;23.03;371.27;-15.71;1.07;13.99
191.0;43.14;-1.1622;78.24;22.84;374.16;-17.86;1.491;13.45
192.0;39.99;-0.8965;78.09;23.12;371.55;-20.6;2.056;13.57
193.0;38.28;-0.4561;78.1;23.12;372.88;-20.94;1.504;13.93
194.0;34.12;-1.2302;77.9;22.61;369.84;-14.92;2.131;13.64
195.0;31.81;-0.5665;77.95;23.08;371.51;-22.53;1.436;13.57
196.0;30.47;-0.3485;78.1;22.91;370.03;-14.81;1.287;14.03
197.0;27.74;-0.7653;78.01;23.05;370.58;-18.5;2.085;14.04
198.0;26.02;-0.4561;77.83;22.73;372.47;-18.29;1.723;13.98
199.0;24.1;-0.5887;78.05;22.92;371.86;-23.12;1.546;14.01
200.0;22.71;-0.3397;77.91;23.08;371.26;-18.44;1.036;13.74
201.0;21.77;-0.2722;78.06;23.18;371.04;-16.16;1.108;13.75
202.0;19.52;-0.6346;77.93;23.02;371.4;-22.01;1.097;13.64
203.0;18.49;-0.3059;77.94;23.37;372.06;-16.5;1.464;13.84
204.0;15.6;-0.8242;78.01;23.22;373.01;-17.73;1.705;13.67
205.0;15.63;0.034;77.83;23.03;368.32;3.48;1.347;13.69
206.0;14.05;-0.4266;77.81;23.19;370.44;-19.93;1.071;13.95
207.0;12.81;-0.3196;77.87;23.03;371.73;-15.44;1.362;14.1
208.0;12.07;-0.2069;77.94;23.16;371.57;3.2;1.445;13.9
209.0;11.51;-0.1337;77.75;22.94;371.8;7.14;2.129;14.25
210.0;11.44;-0.0361;77.72;22.89;371.56;8.99;1.506;13.62
211.0;9.33;-0.4963;77.91;23.1;371.26;-24.61;0.865;13.34
212.0;9.44;-0.0335;77.78;23.38;370.74;-1.68;1.649;13.98
213.0;8.47;-0.2185;77.79;22.86;371.09;9.74;2.011;13.61
214.0;7.95;-0.0895;77.66;23.23;372.51;3.96;2.04;13.73
215.0;8.18;0.0292;77.75;22.96;370.42;1.09;1.968;13.36
216.0;7.37;-0.1356;77.79;22.89;371.31;-1.73;2.069;13.58
217.0;7.36;0.036;77.86;22.66;371.74;-0.05;1.76;13.42
218.0;6.0;-0.3372;77.71;22.83;373.1;-16.96;2.146;13.69
219.0;5.25;-0.2076;77.89;23.0;371.24;3.52;1.008;13.7
220.0;9.69;1.2237;77.7;23.06;372.35;1.1;2.01;13.82
221.0;13.83;1.1423;77.69;23.13;372.65;12.51;1.995;14.11
222.0;17.38;1.0024;77.85;22.89;371.44;9.91;2.066;13.97
223.0;19.97;0.7739;77.74;22.89;371.03;9.79;1.493;13.39
224.0;23.78;1.0661;77.66;23.01;370.73;15.88;1.853;13.95
225.0;26.75;0.7891;77.68;23.01;370.86;9.92;1.239;13.83
226.0;30.81;1.1609;77.79;23.17;372.42;23.79;1.748;13.78
227.0;32.93;0.6242;77.79;23.06;371.66;25.6;1.316;13.79
228.0;33.61;0.2167;77.59;23.29;371.27;30.23;1.776;13.85
229.0;36.11;0.7245;77.64;22.94;369.74;21.76;1.872;13.63
230.0;37.42;0.3515;77.64;23.01;369.92;35.19;1.494;13.75
231.0;39.81;0.6276;77.54;23.0;373.45;36.1;1.283;14.1
232.0;42.09;0.5992;77.6;23.12;370.79;40.0;1.437;13.62
233.0;44.24;0.5321;77.6;23.14;370.06;36.82;1.972;13.54
234.0;44.59;0.1047;77.67;23.01;372.87;41.41;1.788;13.78
235.0;46.03;0.3976;77.66;23.5;371.47;32.84;1.806;13.52
236.0;46.43;0.0948;77.53;23.58;371.55;41.96;1.029;13.37
237.0;48.83;0.5485;77.52;23.22;370.68;38.31;2.123;13.71
238.0;49.42;0.1126;77.58;23.33;370.58;35.34;1.967;14.16
239.0;50.78;0.4242;77.47;23.3;370.52;38.75;0.963;13.79
240.0;51.55;0.1857;77.55;22.95;369.23;43.99;1.345;13.84
241.0;52.92;0.3962;77.48;22.98;370.65;41.98;1.534;13.27
242.0;52.77;-0.0991;77.39;22.87;370.93;46.63;1.531;13.91
243.0;53.72;0.3234;77.38;23.13;372.77;38.8;1.038;13.82
244.0;56.61;0.7958;77.56;22.86;371.02;40.27;1.091;13.63
245.0;55.24;-0.3698;77.42;23.06;367.82;-13.14;1.203;13.85
246.0;55.98;0.2996;77.55;23.04;370.78;51.8;1.137;13.84
247.0;58.33;0.7122;77.36;23.12;373.79;46.21;1.356;13.54
248.0;59.51;0.317;77.41;23.21;371.65;51.52;1.968;13.88
249.0;57.57;-0.5625;77.56;23.15;369.95;-13.68;1.669;14.1
250.0;58.52;0.2517;77.27;23.1;371.04;52.27;1.388;13.74
251.0;59.39;0.2603;77.19;23.17;369.27;52.01;1.727;13.58
252.0;60.63;0.3401;77.43;22.94;369.03;56.98;1.658;13.76
253.0;59.38;-0.3632;77.25;23.26;369.86;-16.83;0.976;14.01
254.0;60.17;0.2801;77.3;23.31;370.49;52.29;1.243;13.49
255.0;61.11;0.2569;77.24;23.21;368.01;52.99;1.238;13.94
256.0;61.21;0.1195;77.29;23.07;368.99;52.06;1.696;13.63
257.0;61.01;-0.0528;77.18;23.41;370.15;51.4;1.51;13.86
258.0;61.42;0.185;77.22;23.17;369.74;53.64;1.385;13.66
259.0;60.92;-0.1245;77.26;23.01;370.78;53.01;1.522;13.66
260.0;61.83;0.2913;77.13;23.4;368.58;49.54;2.176;14.18
261.0;62.02;0.0252;77.14;23.44;370.91;57.13;1.353;13.45
262.0;62.52;0.1037;77.15;23.26;368.66;50.49;1.514;13.92
263.0;62.23;-0.0619;77.05;23.23;371.84;53.25;1.581;14.23
264.0;63.02;0.258;77.11;23.6;367.95;53.69;1.836;13.97
265.0;63.5;0.1358;77.14;23.32;368.75;56.76;1.839;13.47
266.0;63.13;-0.1534;77.09;23.68;370.45;46.5;1.702;13.48
267.0;63.39;0.0164;77.08;23.41;371.94;58.78;1.296;13.61
268.0;63.34;-0.0714;77.09;23.49;370.33;52.46;1.44;13.84
269.0;63.42;-0.0466;77.02;23.3;370.49;60.13;1.978;13.86
270.0;63.1;-0.0853;77.11;23.43;370.03;53.03;1.393;13.48
271.0;63.83;0.2465;77.16;23.44;368.86;55.44;2.15;13.58
272.0;63.67;-0.043;76.99;23.45;369.17;63.15;1.53;13.6
273.0;65.08;0.2993;77.05;23.63;368.42;55.71;1.64;13.75
274.0;64.85;-0.0713;76.98;23.27;368.19;61.56;1.66;14.3
275.0;64.21;-0.1831;77.01;23.3;370.28;56.16;1.547;13.57
276.0;63.59;-0.0878;77.09;23.36;368.62;57.08;2.046;13.56
277.0;63.45;-0.0981;76.99;23.32;370.14;55.56;1.044;13.52
278.0;64.89;0.3854;76.8;23.56;367.79;60.04;1.656;13.96
279.0;64.4;-0.0706;76.96;23.75;370.04;53.43;1.724;13.79
280.0;64.58;0.0691;77.01;23.38;369.2;52.41;2.119;13.58
281.0;63.29;-0.3345;76.87;23.2;371.2;-18.91;1.691;13.71
282.0;64.94;0.4627;76.96;23.19;370.07;57.09;2.173;13.6
283.0;64.7;-0.0537;76.81;23.6;370.86;55.58;2.065;13.87
284.0;63.8;-0.2186;76.73;23.61;368.31;58.45;1.511;14.47
285.0;64.22;0.0844;76.84;23.57;369.52;61.23;2.021;13.94
286.0;64.7;0.1673;76.68;23.37;367.93;52.56;2.216;13.78
287.0;64.6;-0.0812;76.78;23.47;368.83;53.44;1.172;13.63
288.0;64.43;-0.036;76.89;23.67;369.23;50.46;1.603;13.46
289.0;64.57;0.0463;76.62;23.77;368.12;64.46;1.155;13.98
290.0;64.51;-0.0422;76.65;23.34;367.61;57.5;1.842;13.97
291.0;64.77;0.0732;76.66;23.58;367.38;58.45;1.166;13.68
292.0;65.59;0.2011;76.72;23.97;366.39;51.95;1.953;14.1
293.0;63.18;-0.7101;76.68;23.68;367.85;-19.91;1.45;13.81
294.0;64.6;0.3795;76.81;23.89;370.13;58.41;1.66;13.99
295.0;64.87;0.0297;76.76;23.86;367.36;55.61;1.021;13.87
296.0;64.96;0.0375;76.71;23.25;367.53;61.01;1.95;13.76
297.0;64.57;-0.153;76.66;23.59;371.23;65.59;1.731;13.56
298.0;63.75;-0.1983;76.67;23.62;368.33;51.78;1.814;13.76
299.0;65.02;0.3039;76.55;23.65;369.24;52.68;1.405;14.01
300.0;65.87;0.214;76.67;23.7;369.88;54.07;1.282;13.67
301.0;63.93;-0.5653;76.5;23.77;369.55;-18.91;1.502;13.91
302.0;65.37;0.4556;76.64;23.7;367.21;61.28;2.101;13.53
303.0;64.67;-0.1827;76.65;23.76;368.79;55.89;1.263;14.0
304.0;64.84;0.0387;76.56;23.54;366.93;56.74;1.733;13.88
305.0;64.25;-0.1429;76.51;23.71;371.72;52.77;1.046;13.5
306.0;64.69;0.0377;76.55;23.8;366.93;60.02;1.772;13.74
307.0;65.68;0.2728;76.27;23.51;367.02;55.88;1.368;14.03
308.0;65.26;-0.0377;76.51;23.91;367.52;55.95;1.585;13.49
309.0;65.95;0.1987;76.46;23.54;366.87;60.09;1.556;13.53
310.0;65.63;-0.0881;76.45;23.96;370.27;56.59;1.005;13.78
311.0;65.19;-0.0996;76.49;23.38;371.65;55.99;1.567;14.33
312.0;65.98;0.2548;76.42;23.77;368.01;57.72;1.294;13.63
313.0;65.2;-0.296;76.32;23.93;366.79;-16.37;1.531;13.92
314.0;65.44;-0.0012;76.38;24.08;365.82;63.75;2.117;13.87
315.0;64.77;-0.1778;76.38;23.35;368.22;58.87;1.669;13.65
316.0;64.99;0.033;76.37;23.57;368.11;59.95;2.115;13.84
317.0;64.53;-0.0738;76.36;23.75;367.68;55.51;1.534;13.69
318.0;65.55;0.2695;76.41;23.78;368.84;54.44;1.066;13.71
319.0;64.25;-0.4378;76.23;23.53;368.67;-20.42;1.166;13.38
320.0;65.43;0.2769;76.32;23.86;368.76;57.84;1.58;13.79
321.0;64.85;-0.2714;76.39;23.86;368.14;-15.73;1.454;14.02
322.0;65.67;0.2183;76.13;23.85;366.68;56.07;2.147;13.81
323.0;65.42;-0.0769;76.27;24.04;369.08;56.82;1.846;14.07
324.0;66.06;0.1619;76.19;23.92;368.14;55.72;1.483;13.95
325.0;65.41;-0.1379;76.2;23.79;369.19;63.07;1.49;13.79
326.0;64.03;-0.3353;76.14;23.61;368.96;-11.6;1.514;13.64
327.0;64.94;0.2445;76.18;23.95;366.39;62.18;1.705;13.68
328.0;64.28;-0.2691;76.33;23.62;366.68;-18.19;1.105;13.43
329.0;64.67;0.1341;76.06;23.91;366.95;56.76;1.107;13.73
330.0;65.89;0.3609;76.06;23.98;366.57;53.85;1.44;13.84
331.0;65.37;-0.1329;76.03;24.3;368.69;57.14;1.242;14.23
332.0;64.56;-0.1831;76.26;24.03;368.67;56.39;1.853;13.93
333.0;64.38;-0.0987;76.07;24.19;369.18;50.69;0.979;13.58
334.0;65.01;0.2551;76.09;23.68;368.38;54.6;1.206;13.44
335.0;64.26;-0.2463;76.04;24.0;368.06;54.75;1.976;13.75
336.0;64.59;0.1211;75.98;23.88;369.13;58.01;2.187;14.0
337.0;65.18;0.0966;76.02;24.14;368.34;58.76;1.383;13.74
338.0;65.68;0.1036;76.22;24.08;368.27;55.07;1.469;13.94
339.0;65.36;-0.0302;76.12;24.16;369.76;58.96;1.902;13.75
340.0;63.62;-0.4936;75.93;24.09;367.72;-22.03;1.233;13.98
341.0;65.17;0.4664;76.03;24.0;367.43;45.44;1.368;13.4
342.0;65.04;-0.0291;75.9;23.89;366.52;54.84;1.02;14.2
343.0;65.24;0.0529;75.81;24.52;368.18;61.29;1.498;13.52
344.0;65.96;0.2551;76.02;23.75;369.25;50.94;2.322;14.0
345.0;63.76;-0.6226;76.01;23.92;367.7;-22.03;1.921;13.73
346.0;64.64;0.1742;75.99;24.21;369.28;62.75;2.238;13.77
347.0;65.35;0.165;75.85;23.96;365.06;54.04;1.868;13.74
348.0;64.05;-0.3399;75.86;24.04;367.38;-15.67;1.689;13.86
349.0;65.88;0.5255;75.92;24.11;367.52;52.37;1.912;13.91
350.0;65.22;-0.2472;75.88;24.14;366.6;63.46;0.025;14.06
351.0;65.5;0.0508;75.8;23.97;370.18;56.9;0.331;14.15
352.0;64.65;-0.2594;75.69;24.44;367.01;-18.18;0.245;13.88
353.0;65.48;0.2162;75.81;24.21;366.85;62.63;0.302;14.23
354.0;65.64;-0.0125;75.87;24.29;367.5;60.0;0.23;13.82
355.0;65.14;-0.1643;75.67;24.07;364.66;53.38;0.241;14.07
356.0;65.14;-0.0288;75.81;24.14;366.42;54.29;0.045;13.91
357.0;65.16;0.0369;75.77;24.17;368.43;58.88;0.0;13.66
358.0;64.48;-0.1565;75.78;24.15;366.53;53.76;0.254;13.85
359.0;64.91;0.1135;75.78;24.28;366.28;48.19;0.343;13.93
360.0;64.91;-0.0165;75.64;24.29;368.56;56.45;0.344;13.79
361.0;65.23;0.095;75.55;24.36;368.41;51.05;0.301;13.9
362.0;65.6;0.0701;75.62;24.02;367.57;63.78;0.059;14.02
363.0;64.36;-0.3889;75.72;24.14;366.61;-15.37;0.093;13.79
364.0;64.92;0.118;75.59;24.12;366.6;53.06;0.242;13.06
365.0;65.89;0.2424;75.56;24.39;365.87;54.8;0.114;14.22
366.0;64.55;-0.4174;75.46;24.27;365.42;-19.6;0.106;13.73
